date,year,month,month_name,day,day_name,week_of_year,quarter
2013-01-11,2013,1,January,11,Friday,2,1
2018-07-04,2018,7,July,4,Wednesday,27,3
2017-09-06,2017,9,September,6,Wednesday,36,3
2014-08-25,2014,8,August,25,Monday,35,3
2021-07-08,2021,7,July,8,Thursday,27,3
2021-04-30,2021,4,April,30,Friday,17,2
2022-08-04,2022,8,August,4,Thursday,31,3
2021-09-14,2021,9,September,14,Tuesday,37,3
2022-08-17,2022,8,August,17,Wednesday,33,3
2012-06-20,2012,6,June,20,Wednesday,25,2
2022-09-08,2022,9,September,8,Thursday,36,3
2004-11-11,2004,11,November,11,Thursday,46,4
2006-04-13,2006,4,April,13,Thursday,15,2
1973-12-26,1973,12,December,26,Wednesday,52,4
2020-12-04,2020,12,December,4,Friday,49,4
2021-05-14,2021,5,May,14,Friday,19,2
2021-10-27,2021,10,October,27,Wednesday,43,4
1990-11-09,1990,11,November,9,Friday,45,4
2007-08-31,2007,8,August,31,Friday,35,3
2021-02-25,2021,2,February,25,Thursday,8,1
2019-07-25,2019,7,July,25,Thursday,30,3
2021-07-14,2021,7,July,14,Wednesday,28,3
2021-06-15,2021,6,June,15,Tuesday,24,2
2009-09-04,2009,9,September,4,Friday,36,3
2016-07-20,2016,7,July,20,Wednesday,29,3
2004-10-01,2004,10,October,1,Friday,40,4
2010-04-24,2010,4,April,24,Saturday,16,2
2016-06-29,2016,6,June,29,Wednesday,26,2
2019-04-17,2019,4,April,17,Wednesday,16,2
1993-01-01,1993,1,January,1,Friday,53,1
2021-09-15,2021,9,September,15,Wednesday,37,3
2003-05-30,2003,5,May,30,Friday,22,2
2021-08-13,2021,8,August,13,Friday,32,3
1991-08-30,1991,8,August,30,Friday,35,3
2022-09-28,2022,9,September,28,Wednesday,39,3
2020-03-11,2020,3,March,11,Wednesday,11,1
2019-06-26,2019,6,June,26,Wednesday,26,2
2021-09-01,2021,9,September,1,Wednesday,35,3
2021-01-22,2021,1,January,22,Friday,3,1
2021-05-05,2021,5,May,5,Wednesday,18,2
2003-05-21,2003,5,May,21,Wednesday,21,2
2016-11-15,2016,11,November,15,Tuesday,46,4
2016-04-07,2016,4,April,7,Thursday,14,2
2018-06-07,2018,6,June,7,Thursday,23,2
2000-03-17,2000,3,March,17,Friday,11,1
2013-10-04,2013,10,October,4,Friday,40,4
2019-06-19,2019,6,June,19,Wednesday,25,2
2021-10-21,2021,10,October,21,Thursday,42,4
2013-05-31,2013,5,May,31,Friday,22,2
2017-08-03,2017,8,August,3,Thursday,31,3
2021-03-18,2021,3,March,18,Thursday,11,1
2021-02-12,2021,2,February,12,Friday,6,1
1975-06-26,1975,6,June,26,Thursday,26,2
2020-05-12,2020,5,May,12,Tuesday,20,2
2007-05-20,2007,5,May,20,Sunday,20,2
2019-07-29,2019,7,July,29,Monday,31,3
2013-01-17,2013,1,January,17,Thursday,3,1
2002-10-18,2002,10,October,18,Friday,42,4
2011-08-12,2011,8,August,12,Friday,32,3
2017-05-09,2017,5,May,9,Tuesday,19,2
2010-09-13,2010,9,September,13,Monday,37,3
2007-12-25,2007,12,December,25,Tuesday,52,4
2014-01-01,2014,1,January,1,Wednesday,1,1
2015-08-05,2015,8,August,5,Wednesday,32,3
2003-08-15,2003,8,August,15,Friday,33,3
2007-09-14,2007,9,September,14,Friday,37,3
2021-09-29,2021,9,September,29,Wednesday,39,3
2002-11-04,2002,11,November,4,Monday,45,4
2020-10-28,2020,10,October,28,Wednesday,44,4
2007-10-26,2007,10,October,26,Friday,43,4
2006-10-05,2006,10,October,5,Thursday,40,4
2015-01-27,2015,1,January,27,Tuesday,5,1
2020-01-15,2020,1,January,15,Wednesday,3,1
2007-11-23,2007,11,November,23,Friday,47,4
2020-03-13,2020,3,March,13,Friday,11,1
2017-02-24,2017,2,February,24,Friday,8,1
2008-04-02,2008,4,April,2,Wednesday,14,2
2014-10-02,2014,10,October,2,Thursday,40,4
1988-10-21,1988,10,October,21,Friday,42,4
2013-09-12,2013,9,September,12,Thursday,37,3
1996-12-20,1996,12,December,20,Friday,51,4
2020-09-21,2020,9,September,21,Monday,39,3
2009-04-26,2009,4,April,26,Sunday,17,2
2012-01-19,2012,1,January,19,Thursday,3,1
2006-02-09,2006,2,February,9,Thursday,6,1
2021-05-12,2021,5,May,12,Wednesday,19,2
2015-10-23,2015,10,October,23,Friday,43,4
2015-08-01,2015,8,August,1,Saturday,31,3
2012-03-29,2012,3,March,29,Thursday,13,1
2009-10-07,2009,10,October,7,Wednesday,41,4
2018-10-11,2018,10,October,11,Thursday,41,4
2020-10-15,2020,10,October,15,Thursday,42,4
2022-02-09,2022,2,February,9,Wednesday,6,1
2003-01-31,2003,1,January,31,Friday,5,1
2019-11-21,2019,11,November,21,Thursday,47,4
2018-04-12,2018,4,April,12,Thursday,15,2
2018-04-03,2018,4,April,3,Tuesday,14,2
1980-05-23,1980,5,May,23,Friday,21,2
2016-11-24,2016,11,November,24,Thursday,47,4
1987-09-11,1987,9,September,11,Friday,37,3
2005-04-30,2005,4,April,30,Saturday,17,2
2016-12-21,2016,12,December,21,Wednesday,51,4
2020-07-15,2020,7,July,15,Wednesday,29,3
2006-03-10,2006,3,March,10,Friday,10,1
2021-08-25,2021,8,August,25,Wednesday,34,3
2021-03-05,2021,3,March,5,Friday,9,1
1991-09-05,1991,9,September,5,Thursday,36,3
2009-02-11,2009,2,February,11,Wednesday,7,1
2014-07-17,2014,7,July,17,Thursday,29,3
2020-09-10,2020,9,September,10,Thursday,37,3
2011-10-21,2011,10,October,21,Friday,42,4
1979-05-25,1979,5,May,25,Friday,21,2
2016-10-15,2016,10,October,15,Saturday,41,4
2021-07-01,2021,7,July,1,Thursday,26,3
2009-09-18,2009,9,September,18,Friday,38,3
2014-08-22,2014,8,August,22,Friday,34,3
2005-10-28,2005,10,October,28,Friday,43,4
2018-08-10,2018,8,August,10,Friday,32,3
2020-02-27,2020,2,February,27,Thursday,9,1
2019-09-11,2019,9,September,11,Wednesday,37,3
2015-09-01,2015,9,September,1,Tuesday,36,3
2009-03-15,2009,3,March,15,Sunday,11,1
2004-08-26,2004,8,August,26,Thursday,35,3
2007-03-16,2007,3,March,16,Friday,11,1
2006-10-27,2006,10,October,27,Friday,43,4
1980-05-09,1980,5,May,9,Friday,19,2
2019-07-03,2019,7,July,3,Wednesday,27,3
2019-10-09,2019,10,October,9,Wednesday,41,4
1989-10-12,1989,10,October,12,Thursday,41,4
1998-08-21,1998,8,August,21,Friday,34,3
2010-06-17,2010,6,June,17,Thursday,24,2
1974-10-01,1974,10,October,1,Tuesday,40,4
2021-02-28,2021,2,February,28,Sunday,8,1
2012-04-12,2012,4,April,12,Thursday,15,2
2020-04-01,2020,4,April,1,Wednesday,14,2
2021-04-15,2021,4,April,15,Thursday,15,2
2019-07-21,2019,7,July,21,Sunday,29,3
1982-06-25,1982,6,June,25,Friday,25,2
2017-08-25,2017,8,August,25,Friday,34,3
2018-01-03,2018,1,January,3,Wednesday,1,1
2020-12-31,2020,12,December,31,Thursday,53,4
2013-01-03,2013,1,January,3,Thursday,1,1
2011-10-19,2011,10,October,19,Wednesday,42,4
2021-02-26,2021,2,February,26,Friday,8,1
2007-10-25,2007,10,October,25,Thursday,43,4
2019-06-28,2019,6,June,28,Friday,26,2
2014-10-07,2014,10,October,7,Tuesday,41,4
2017-10-07,2017,10,October,7,Saturday,40,4
2015-10-01,2015,10,October,1,Thursday,40,4
2018-02-22,2018,2,February,22,Thursday,8,1
2020-08-26,2020,8,August,26,Wednesday,35,3
2007-03-22,2007,3,March,22,Thursday,12,1
2007-04-26,2007,4,April,26,Thursday,17,2
2009-08-26,2009,8,August,26,Wednesday,35,3
2015-06-26,2015,6,June,26,Friday,26,2
2005-09-09,2005,9,September,9,Friday,36,3
2021-09-24,2021,9,September,24,Friday,38,3
2021-06-25,2021,6,June,25,Friday,25,2
1995-09-29,1995,9,September,29,Friday,39,3
2021-03-26,2021,3,March,26,Friday,12,1
2001-10-26,2001,10,October,26,Friday,43,4
2011-10-06,2011,10,October,6,Thursday,40,4
2014-10-31,2014,10,October,31,Friday,44,4
2020-08-25,2020,8,August,25,Tuesday,35,3
2021-01-29,2021,1,January,29,Friday,4,1
1975-06-20,1975,6,June,20,Friday,25,2
2019-11-09,2019,11,November,9,Saturday,45,4
1997-12-12,1997,12,December,12,Friday,50,4
2004-08-12,2004,8,August,12,Thursday,33,3
2020-06-24,2020,6,June,24,Wednesday,26,2
2005-09-17,2005,9,September,17,Saturday,37,3
1999-11-19,1999,11,November,19,Friday,46,4
2010-08-20,2010,8,August,20,Friday,33,3
2004-05-05,2004,5,May,5,Wednesday,19,2
2009-10-27,2009,10,October,27,Tuesday,44,4
2010-11-20,2010,11,November,20,Saturday,46,4
2014-09-24,2014,9,September,24,Wednesday,39,3
2012-10-12,2012,10,October,12,Friday,41,4
2015-07-09,2015,7,July,9,Thursday,28,3
1981-10-30,1981,10,October,30,Friday,44,4
2013-04-05,2013,4,April,5,Friday,14,2
2021-08-04,2021,8,August,4,Wednesday,31,3
2007-06-08,2007,6,June,8,Friday,23,2
2013-08-25,2013,8,August,25,Sunday,34,3
2019-07-11,2019,7,July,11,Thursday,28,3
2002-10-31,2002,10,October,31,Thursday,44,4
2002-10-25,2002,10,October,25,Friday,43,4
2021-04-29,2021,4,April,29,Thursday,17,2
1984-04-13,1984,4,April,13,Friday,15,2
2015-05-28,2015,5,May,28,Thursday,22,2
2020-02-18,2020,2,February,18,Tuesday,8,1
2022-08-05,2022,8,August,5,Friday,31,3
2002-07-01,2002,7,July,1,Monday,27,3
2019-01-10,2019,1,January,10,Thursday,2,1
2005-03-17,2005,3,March,17,Thursday,11,1
2020-01-10,2020,1,January,10,Friday,2,1
2012-08-09,2012,8,August,9,Thursday,32,3
2021-10-20,2021,10,October,20,Wednesday,42,4
2020-01-30,2020,1,January,30,Thursday,5,1
2022-01-27,2022,1,January,27,Thursday,4,1
2010-10-21,2010,10,October,21,Thursday,42,4
2019-08-09,2019,8,August,9,Friday,32,3
2004-04-09,2004,4,April,9,Friday,15,2
1976-11-03,1976,11,November,3,Wednesday,45,4
2017-10-11,2017,10,October,11,Wednesday,41,4
2019-09-07,2019,9,September,7,Saturday,36,3
2021-03-11,2021,3,March,11,Thursday,10,1
1972-10-14,1972,10,October,14,Saturday,41,4
1999-07-14,1999,7,July,14,Wednesday,28,3
1976-01-10,1976,1,January,10,Saturday,2,1
1981-09-10,1981,9,September,10,Thursday,37,3
1981-05-01,1981,5,May,1,Friday,18,2
1995-07-04,1995,7,July,4,Tuesday,27,3
2010-04-30,2010,4,April,30,Friday,17,2
2018-09-07,2018,9,September,7,Friday,36,3
1992-11-13,1992,11,November,13,Friday,46,4
2014-10-24,2014,10,October,24,Friday,43,4
2021-10-05,2021,10,October,5,Tuesday,40,4
2004-10-22,2004,10,October,22,Friday,43,4
2012-03-30,2012,3,March,30,Friday,13,1
2008-10-23,2008,10,October,23,Thursday,43,4
1984-11-09,1984,11,November,9,Friday,45,4
1985-08-02,1985,8,August,2,Friday,31,3
2014-08-14,2014,8,August,14,Thursday,33,3
1990-10-19,1990,10,October,19,Friday,42,4
2019-08-08,2019,8,August,8,Thursday,32,3
2020-10-23,2020,10,October,23,Friday,43,4
2022-10-07,2022,10,October,7,Friday,40,4
1989-04-21,1989,4,April,21,Friday,16,2
2022-03-03,2022,3,March,3,Thursday,9,1
2014-11-29,2014,11,November,29,Saturday,48,4
1994-11-11,1994,11,November,11,Friday,45,4
2009-10-16,2009,10,October,16,Friday,42,4
2020-08-27,2020,8,August,27,Thursday,35,3
2011-04-11,2011,4,April,11,Monday,15,2
2014-08-12,2014,8,August,12,Tuesday,33,3
2005-02-25,2005,2,February,25,Friday,8,1
2021-04-23,2021,4,April,23,Friday,16,2
1960-06-22,1960,6,June,22,Wednesday,25,2
2004-03-19,2004,3,March,19,Friday,12,1
1981-08-21,1981,8,August,21,Friday,34,3
2016-02-25,2016,2,February,25,Thursday,8,1
2019-03-14,2019,3,March,14,Thursday,11,1
2005-11-03,2005,11,November,3,Thursday,44,4
1980-02-07,1980,2,February,7,Thursday,6,1
2019-05-09,2019,5,May,9,Thursday,19,2
2020-07-23,2020,7,July,23,Thursday,30,3
1992-10-31,1992,10,October,31,Saturday,44,4
2008-09-03,2008,9,September,3,Wednesday,36,3
1998-08-05,1998,8,August,5,Wednesday,32,3
2007-11-09,2007,11,November,9,Friday,45,4
2007-10-31,2007,10,October,31,Wednesday,44,4
2019-10-15,2019,10,October,15,Tuesday,42,4
2020-09-08,2020,9,September,8,Tuesday,37,3
2021-04-03,2021,4,April,3,Saturday,13,2
2005-07-08,2005,7,July,8,Friday,27,3
1999-07-11,1999,7,July,11,Sunday,27,3
2012-09-25,2012,9,September,25,Tuesday,39,3
1997-04-11,1997,4,April,11,Friday,15,2
1993-01-08,1993,1,January,8,Friday,1,1
1982-06-04,1982,6,June,4,Friday,22,2
2016-02-26,2016,2,February,26,Friday,8,1
1990-01-19,1990,1,January,19,Friday,3,1
2005-04-14,2005,4,April,14,Thursday,15,2
2019-02-01,2019,2,February,1,Friday,5,1
2004-12-08,2004,12,December,8,Wednesday,50,4
1994-04-07,1994,4,April,7,Thursday,14,2
2020-10-20,2020,10,October,20,Tuesday,43,4
2020-09-02,2020,9,September,2,Wednesday,36,3
2017-07-07,2017,7,July,7,Friday,27,3
2021-07-30,2021,7,July,30,Friday,30,3
2002-03-22,2002,3,March,22,Friday,12,1
2017-10-26,2017,10,October,26,Thursday,43,4
2020-10-30,2020,10,October,30,Friday,44,4
2006-06-20,2006,6,June,20,Tuesday,25,2
2016-01-22,2016,1,January,22,Friday,3,1
2019-08-21,2019,8,August,21,Wednesday,34,3
2018-09-06,2018,9,September,6,Thursday,36,3
1997-08-15,1997,8,August,15,Friday,33,3
1985-04-25,1985,4,April,25,Thursday,17,2
1973-07-11,1973,7,July,11,Wednesday,28,3
2020-10-29,2020,10,October,29,Thursday,44,4
2018-03-07,2018,3,March,7,Wednesday,10,1
2005-09-06,2005,9,September,6,Tuesday,36,3
2014-11-07,2014,11,November,7,Friday,45,4
2003-05-13,2003,5,May,13,Tuesday,20,2
2020-10-02,2020,10,October,2,Friday,40,4
2017-02-01,2017,2,February,1,Wednesday,5,1
1982-10-22,1982,10,October,22,Friday,42,4
1985-11-01,1985,11,November,1,Friday,44,4
2009-03-13,2009,3,March,13,Friday,11,1
1995-07-07,1995,7,July,7,Friday,27,3
2009-10-14,2009,10,October,14,Wednesday,42,4
2015-04-25,2015,4,April,25,Saturday,17,2
1988-12-23,1988,12,December,23,Friday,51,4
1993-08-13,1993,8,August,13,Friday,32,3
1990-08-17,1990,8,August,17,Friday,33,3
2020-07-03,2020,7,July,3,Friday,27,3
2016-10-20,2016,10,October,20,Thursday,42,4
2020-02-26,2020,2,February,26,Wednesday,9,1
2017-06-06,2017,6,June,6,Tuesday,23,2
2018-10-04,2018,10,October,4,Thursday,40,4
1986-08-01,1986,8,August,1,Friday,31,3
2000-02-03,2000,2,February,3,Thursday,5,1
2009-01-09,2009,1,January,9,Friday,2,1
1988-08-19,1988,8,August,19,Friday,33,3
2013-10-16,2013,10,October,16,Wednesday,42,4
1996-08-16,1996,8,August,16,Friday,33,3
2020-10-22,2020,10,October,22,Thursday,43,4
2014-11-13,2014,11,November,13,Thursday,46,4
2014-06-12,2014,6,June,12,Thursday,24,2
2009-09-15,2009,9,September,15,Tuesday,38,3
2010-02-10,2010,2,February,10,Wednesday,6,1
2013-08-30,2013,8,August,30,Friday,35,3
2017-09-14,2017,9,September,14,Thursday,37,3
2019-01-03,2019,1,January,3,Thursday,1,1
2015-08-31,2015,8,August,31,Monday,36,3
2020-02-12,2020,2,February,12,Wednesday,7,1
2001-07-24,2001,7,July,24,Tuesday,30,3
1989-07-28,1989,7,July,28,Friday,30,3
2022-06-27,2022,6,June,27,Monday,26,2
2012-10-10,2012,10,October,10,Wednesday,41,4
2013-09-08,2013,9,September,8,Sunday,36,3
2017-10-13,2017,10,October,13,Friday,41,4
1978-08-03,1978,8,August,3,Thursday,31,3
2007-01-12,2007,1,January,12,Friday,2,1
2015-05-20,2015,5,May,20,Wednesday,21,2
2020-01-08,2020,1,January,8,Wednesday,2,1
2006-04-21,2006,4,April,21,Friday,16,2
2016-07-21,2016,7,July,21,Thursday,29,3
2017-05-27,2017,5,May,27,Saturday,21,2
2003-12-30,2003,12,December,30,Tuesday,1,4
2017-10-12,2017,10,October,12,Thursday,41,4
2016-08-27,2016,8,August,27,Saturday,34,3
1982-08-13,1982,8,August,13,Friday,32,3
2020-01-27,2020,1,January,27,Monday,5,1
2022-05-25,2022,5,May,25,Wednesday,21,2
1996-05-03,1996,5,May,3,Friday,18,2
1999-03-12,1999,3,March,12,Friday,10,1
1997-10-17,1997,10,October,17,Friday,42,4
1977-02-01,1977,2,February,1,Tuesday,5,1
1984-03-09,1984,3,March,9,Friday,10,1
2018-11-01,2018,11,November,1,Thursday,44,4
2007-04-06,2007,4,April,6,Friday,14,2
2007-11-21,2007,11,November,21,Wednesday,47,4
2016-07-29,2016,7,July,29,Friday,30,3
2014-05-22,2014,5,May,22,Thursday,21,2
2022-03-04,2022,3,March,4,Friday,9,1
1987-03-13,1987,3,March,13,Friday,11,1
2010-06-16,2010,6,June,16,Wednesday,24,2
2013-07-25,2013,7,July,25,Thursday,30,3
2020-07-24,2020,7,July,24,Friday,30,3
2020-10-13,2020,10,October,13,Tuesday,42,4
1981-05-27,1981,5,May,27,Wednesday,22,2
1990-01-12,1990,1,January,12,Friday,2,1
1986-08-22,1986,8,August,22,Friday,34,3
2015-10-02,2015,10,October,2,Friday,40,4
2020-11-12,2020,11,November,12,Thursday,46,4
2018-03-28,2018,3,March,28,Wednesday,13,1
2013-01-31,2013,1,January,31,Thursday,5,1
1977-06-17,1977,6,June,17,Friday,24,2
2019-04-04,2019,4,April,4,Thursday,14,2
2011-05-05,2011,5,May,5,Thursday,18,2
2021-07-02,2021,7,July,2,Friday,26,3
2019-10-24,2019,10,October,24,Thursday,43,4
2021-02-05,2021,2,February,5,Friday,5,1
2011-12-27,2011,12,December,27,Tuesday,52,4
2017-03-22,2017,3,March,22,Wednesday,12,1
2003-06-13,2003,6,June,13,Friday,24,2
2006-05-19,2006,5,May,19,Friday,20,2
2010-11-29,2010,11,November,29,Monday,48,4
2019-01-11,2019,1,January,11,Friday,2,1
2011-08-09,2011,8,August,9,Tuesday,32,3
2010-12-03,2010,12,December,3,Friday,48,4
2017-11-24,2017,11,November,24,Friday,47,4
2003-11-21,2003,11,November,21,Friday,47,4
2020-10-06,2020,10,October,6,Tuesday,41,4
1995-03-12,1995,3,March,12,Sunday,10,1
1986-04-11,1986,4,April,11,Friday,15,2
2015-08-19,2015,8,August,19,Wednesday,34,3
2020-09-24,2020,9,September,24,Thursday,39,3
2020-12-15,2020,12,December,15,Tuesday,51,4
2020-08-21,2020,8,August,21,Friday,34,3
2009-07-21,2009,7,July,21,Tuesday,30,3
2018-11-29,2018,11,November,29,Thursday,48,4
2014-01-30,2014,1,January,30,Thursday,5,1
2019-02-13,2019,2,February,13,Wednesday,7,1
1988-05-27,1988,5,May,27,Friday,21,2
2014-03-20,2014,3,March,20,Thursday,12,1
2003-04-11,2003,4,April,11,Friday,15,2
1992-09-11,1992,9,September,11,Friday,37,3
2011-04-23,2011,4,April,23,Saturday,16,2
1983-08-10,1983,8,August,10,Wednesday,32,3
1994-10-13,1994,10,October,13,Thursday,41,4
1988-05-13,1988,5,May,13,Friday,19,2
1982-11-12,1982,11,November,12,Friday,45,4
1985-03-22,1985,3,March,22,Friday,12,1
1963-03-28,1963,3,March,28,Thursday,13,1
2016-06-24,2016,6,June,24,Friday,25,2
1984-06-07,1984,6,June,7,Thursday,23,2
2019-05-24,2019,5,May,24,Friday,21,2
2015-11-28,2015,11,November,28,Saturday,48,4
2011-08-17,2011,8,August,17,Wednesday,33,3
2012-05-24,2012,5,May,24,Thursday,21,2
2019-10-30,2019,10,October,30,Wednesday,44,4
1981-01-21,1981,1,January,21,Wednesday,4,1
2015-10-06,2015,10,October,6,Tuesday,41,4
2020-01-23,2020,1,January,23,Thursday,4,1
1990-06-15,1990,6,June,15,Friday,24,2
2015-10-13,2015,10,October,13,Tuesday,42,4
2010-10-20,2010,10,October,20,Wednesday,42,4
2017-09-30,2017,9,September,30,Saturday,39,3
1986-06-18,1986,6,June,18,Wednesday,25,2
2006-07-27,2006,7,July,27,Thursday,30,3
2016-05-13,2016,5,May,13,Friday,19,2
2019-06-04,2019,6,June,4,Tuesday,23,2
2021-10-08,2021,10,October,8,Friday,40,4
2006-04-24,2006,4,April,24,Monday,17,2
2019-09-30,2019,9,September,30,Monday,40,3
2003-01-01,2003,1,January,1,Wednesday,1,1
2004-09-09,2004,9,September,9,Thursday,37,3
2020-10-07,2020,10,October,7,Wednesday,41,4
2011-05-01,2011,5,May,1,Sunday,17,2
2016-03-12,2016,3,March,12,Saturday,10,1
2010-02-09,2010,2,February,9,Tuesday,6,1
2012-07-13,2012,7,July,13,Friday,28,3
2020-09-28,2020,9,September,28,Monday,40,3
2016-09-23,2016,9,September,23,Friday,38,3
2011-09-15,2011,9,September,15,Thursday,37,3
2020-06-18,2020,6,June,18,Thursday,25,2
2000-08-01,2000,8,August,1,Tuesday,31,3
2000-10-03,2000,10,October,3,Tuesday,40,4
2018-03-14,2018,3,March,14,Wednesday,11,1
2020-02-20,2020,2,February,20,Thursday,8,1
2007-10-17,2007,10,October,17,Wednesday,42,4
2015-07-24,2015,7,July,24,Friday,30,3
1993-10-01,1993,10,October,1,Friday,39,4
2011-10-12,2011,10,October,12,Wednesday,41,4
2013-11-16,2013,11,November,16,Saturday,46,4
2012-09-29,2012,9,September,29,Saturday,39,3
2017-05-25,2017,5,May,25,Thursday,21,2
2017-12-29,2017,12,December,29,Friday,52,4
2015-09-10,2015,9,September,10,Thursday,37,3
1998-01-30,1998,1,January,30,Friday,5,1
1976-06-25,1976,6,June,25,Friday,26,2
2001-08-02,2001,8,August,2,Thursday,31,3
2007-06-22,2007,6,June,22,Friday,25,2
2010-09-16,2010,9,September,16,Thursday,37,3
2009-07-09,2009,7,July,9,Thursday,28,3
2011-01-28,2011,1,January,28,Friday,4,1
2008-05-29,2008,5,May,29,Thursday,22,2
2014-12-30,2014,12,December,30,Tuesday,1,4
2021-07-15,2021,7,July,15,Thursday,28,3
1978-11-02,1978,11,November,2,Thursday,44,4
1992-07-30,1992,7,July,30,Thursday,31,3
2015-05-22,2015,5,May,22,Friday,21,2
2014-10-30,2014,10,October,30,Thursday,44,4
1990-05-25,1990,5,May,25,Friday,21,2
1980-02-08,1980,2,February,8,Friday,6,1
2009-08-13,2009,8,August,13,Thursday,33,3
2022-05-12,2022,5,May,12,Thursday,19,2
2018-08-27,2018,8,August,27,Monday,35,3
2012-10-17,2012,10,October,17,Wednesday,42,4
1997-11-12,1997,11,November,12,Wednesday,46,4
2000-03-28,2000,3,March,28,Tuesday,13,1
2008-09-12,2008,9,September,12,Friday,37,3
